|--------+--------+---------+---------+---------+-------+--------+----------+-------------+-------------|
| dmp    | class  | threads | quantum | serial  | depth |    avg | overhead | scalability | sensitivity |
| dmp    | jacobi |       x |   10000 | reduced |     1 |   3.70 |          |             |             |
| dmp    | jacobi |       x |  100000 | reduced |     1 |   3.70 |          |             |             |
| dmp    | jacobi |       x |  100000 | reduced |     5 |   6.97 |          |             |             |
| dmp    | jacobi |       x |   10000 | reduced |     5 |   6.98 |          |             |             |
| dmp    | jacobi |       x |   10000 | reduced |    10 |   6.98 |          |             |             |
| dmp    | jacobi |       x |  100000 | reduced |    10 |   6.98 |          |             |             |
| dmp    | jacobi |       x |    1000 | reduced |     1 |  11.90 |          |             |             |
| dmp    | jacobi |       x |  100000 | full    |     1 |  15.97 |          |             |             |
| dmp    | jacobi |       x |   10000 | full    |     1 |  16.03 |          |             |             |
| dmp    | jacobi |       x |    1000 | full    |     1 |  17.31 |          |             |             |
| dmp    | jacobi |       x |    1000 | reduced |     5 |  24.66 |          |             |             |
| dmp    | jacobi |       x |    1000 | reduced |    10 |  24.71 |          |             |             |
| dmp    | jacobi |       x |  100000 | full    |     5 |  35.01 |          |             |             |
| dmp    | jacobi |       x |   10000 | full    |     5 |  35.02 |          |             |             |
| dmp    | jacobi |       x |  100000 | full    |    10 |  35.02 |          |             |             |
| dmp    | jacobi |       x |   10000 | full    |    10 |  35.03 |          |             |             |
| dmp    | jacobi |       x |    1000 | full    |    10 |  35.51 |          |             |             |
| dmp    | jacobi |       x |    1000 | full    |     5 |  35.60 |          |             |             |
|--------+--------+---------+---------+---------+-------+--------+----------+-------------+-------------|
| dmp    | dpl    |       2 |   10000 | full    |     5 |    .47 |          |             |             |
| nondmp | dpl    |       2 |       x | x       |     x |    .49 |          |             |             |
| dmp    | dpl    |       2 |   10000 | full    |     1 |    .52 |          |             |             |
| dmp    | dpl    |       2 |   10000 | reduced |     5 |    .52 |          |             |             |
| nondmp | dpl    |       4 |       x | x       |     x |    .52 |          |             |             |
| dmp    | dpl    |       2 |   10000 | reduced |     1 |    .53 |          |             |             |
| dmp    | dpl    |       2 |  100000 | full    |     5 |    .54 |          |             |             |
| dmp    | dpl    |       2 |    1000 | reduced |     5 |    .59 |          |             |             |
| dmp    | dpl    |       2 |   10000 | full    |    10 |    .59 |          |             |             |
| dmp    | dpl    |       2 |   10000 | reduced |    10 |    .59 |          |             |             |
| dmp    | dpl    |       2 |    1000 | full    |     1 |    .60 |          |             |             |
| dmp    | dpl    |       2 |    1000 | reduced |     1 |    .60 |          |             |             |
| dmp    | dpl    |       2 |    1000 | full    |     5 |    .61 |          |             |             |
| dmp    | dpl    |       2 |  100000 | reduced |     1 |    .61 |          |             |             |
| dmp    | dpl    |       2 |    1000 | reduced |    10 |    .63 |          |             |             |
| dmp    | dpl    |       2 |  100000 | full    |     1 |    .65 |          |             |             |
| dmp    | dpl    |       2 |    1000 | full    |    10 |    .66 |          |             |             |
| dmp    | dpl    |       2 |  100000 | reduced |     5 |    .67 |          |             |             |
| nondmp | dpl    |       8 |       x | x       |     x |    .67 |          |             |             |
| dmp    | dpl    |       2 |  100000 | full    |    10 |    .71 |          |             |             |
| dmp    | dpl    |       4 |   10000 | full    |     5 |    .83 |          |             |             |
| dmp    | dpl    |       4 |   10000 | full    |     1 |    .84 |          |             |             |
| dmp    | dpl    |       2 |  100000 | reduced |    10 |    .86 |          |             |             |
| dmp    | dpl    |       4 |    1000 | full    |     1 |    .87 |          |             |             |
| dmp    | dpl    |       4 |    1000 | reduced |     1 |    .87 |          |             |             |
| dmp    | dpl    |       4 |    1000 | reduced |     5 |    .90 |          |             |             |
| dmp    | dpl    |       4 |   10000 | reduced |     1 |    .90 |          |             |             |
| dmp    | dpl    |       4 |    1000 | full    |     5 |    .91 |          |             |             |
| dmp    | dpl    |       4 |   10000 | reduced |     5 |    .91 |          |             |             |
| dmp    | dpl    |       4 |   10000 | full    |    10 |   1.06 |          |             |             |
| dmp    | dpl    |       4 |  100000 | reduced |     1 |   1.12 |          |             |             |
| dmp    | dpl    |       4 |   10000 | reduced |    10 |   1.19 |          |             |             |
| dmp    | dpl    |       8 |   10000 | reduced |     1 |   1.20 |          |             |             |
| dmp    | dpl    |       8 |    1000 | reduced |     1 |   1.21 |          |             |             |
| dmp    | dpl    |       8 |   10000 | full    |     1 |   1.21 |          |             |             |
| dmp    | dpl    |       8 |    1000 | full    |     1 |   1.22 |          |             |             |
| dmp    | dpl    |       4 |  100000 | full    |     1 |   1.23 |          |             |             |
| dmp    | dpl    |       4 |  100000 | reduced |     5 |   1.25 |          |             |             |
| dmp    | dpl    |       8 |   10000 | full    |     5 |   1.32 |          |             |             |
| dmp    | dpl    |       4 |  100000 | full    |     5 |   1.33 |          |             |             |
| dmp    | dpl    |       8 |   10000 | reduced |     5 |   1.34 |          |             |             |
| dmp    | dpl    |       4 |    1000 | reduced |    10 |   1.42 |          |             |             |
| dmp    | dpl    |       4 |    1000 | full    |    10 |   1.43 |          |             |             |
| dmp    | dpl    |       8 |    1000 | reduced |     5 |   1.45 |          |             |             |
| nondmp | dpl    |      16 |       x | x       |     x |   1.48 |          |             |             |
| dmp    | dpl    |       8 |    1000 | full    |     5 |   1.50 |          |             |             |
| dmp    | dpl    |       4 |  100000 | reduced |    10 |   1.71 |          |             |             |
| dmp    | dpl    |       4 |  100000 | full    |    10 |   1.96 |          |             |             |
| dmp    | dpl    |       8 |  100000 | reduced |     5 |   2.15 |          |             |             |
| dmp    | dpl    |       8 |  100000 | reduced |     1 |   2.22 |          |             |             |
| dmp    | dpl    |      16 |   10000 | reduced |     1 |   2.43 |          |             |             |
| dmp    | dpl    |       8 |  100000 | full    |     1 |   2.49 |          |             |             |
| dmp    | dpl    |      16 |   10000 | reduced |     5 |   2.50 |          |             |             |
| dmp    | dpl    |       8 |  100000 | full    |     5 |   2.70 |          |             |             |
| dmp    | dpl    |      16 |   10000 | full    |     1 |   2.78 |          |             |             |
| dmp    | dpl    |      16 |  100000 | reduced |     5 |   2.88 |          |             |             |
| dmp    | dpl    |      16 |    1000 | full    |     1 |   2.97 |          |             |             |
| dmp    | dpl    |      16 |    1000 | reduced |     1 |   2.97 |          |             |             |
| dmp    | dpl    |      16 |   10000 | full    |     5 |   3.17 |          |             |             |
| dmp    | dpl    |      16 |  100000 | reduced |     1 |   3.19 |          |             |             |
| dmp    | dpl    |       8 |   10000 | reduced |    10 |   3.20 |          |             |             |
| dmp    | dpl    |       8 |  100000 | reduced |    10 |   3.40 |          |             |             |
| dmp    | dpl    |       8 |   10000 | full    |    10 |   3.52 |          |             |             |
| dmp    | dpl    |      16 |    1000 | reduced |     5 |   4.00 |          |             |             |
| dmp    | dpl    |      16 |    1000 | full    |     5 |   4.35 |          |             |             |
| dmp    | dpl    |       8 |  100000 | full    |    10 |   4.68 |          |             |             |
| dmp    | dpl    |      16 |  100000 | full    |     5 |   5.90 |          |             |             |
| dmp    | dpl    |      16 |  100000 | full    |     1 |   5.95 |          |             |             |
| dmp    | dpl    |      16 |  100000 | reduced |    10 |   8.88 |          |             |             |
| dmp    | dpl    |       8 |    1000 | reduced |    10 |   9.20 |          |             |             |
| dmp    | dpl    |       8 |    1000 | full    |    10 |   9.25 |          |             |             |
| dmp    | dpl    |      16 |  100000 | full    |    10 |  18.36 |          |             |             |
| dmp    | dpl    |      16 |   10000 | reduced |    10 |  18.59 |          |             |             |
| dmp    | dpl    |      16 |   10000 | full    |    10 |  25.11 |          |             |             |
| dmp    | dpl    |      16 |    1000 | reduced |    10 | 106.80 |          |             |             |
| dmp    | dpl    |      16 |    1000 | full    |    10 | 113.57 |          |             |             |
|--------+--------+---------+---------+---------+-------+--------+----------+-------------+-------------|
